INSTRUCTION_RETIRED,0x5300c0
LLC_REFERENCES,0x534f2e
LLC_MISSES,0x53412e
BRANCH_INSTRUCTIONS_RETIRED,0x5300c4
MISPREDICTED_BRANCH_RETIRED,0x5300c5
UNHALTED_CORE_CYCLES,0x53003c
MEM_LOAD_RETIRED.FB_HIT,0x5340d1
MEM_LOAD_RETIRED.L3_MISS,0x5320d1
MEM_LOAD_RETIRED.L2_MISS,0x5310d1
MEM_LOAD_RETIRED.L1_MISS,0x5308d1
MEM_LOAD_RETIRED.L3_HIT,0x5304d1
MEM_LOAD_RETIRED.L2_HIT,0x5302d1
MEM_LOAD_RETIRED.L1_HIT,0x5301d1
MEM_LOAD_RETIRED.LOCAL_PMM,0x5380d1
MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM,0x5302d3
MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM,0x5301d3
UOPS_RETIRED.SLOTS,0x5302c2
UOPS_RETIRED.TOTAL_CYCLES,0xad302c2
UOPS_RETIRED.STALL_CYCLES,0x1d302c2
LOAD_HIT_PREFETCH.SWPF,0x53014c
L1D_PEND_MISS.L2_STALL,0x530448
L1D_PEND_MISS.FB_FULL_PERIODS,0x1570248
L1D_PEND_MISS.FB_FULL,0x530248
L1D_PEND_MISS.PENDING_CYCLES,0x1530148
L1D_PEND_MISS.PENDING,0x530148
SW_PREFETCH_ACCESS.T1_T2,0x530432
SW_PREFETCH_ACCESS.T0,0x530232
SW_PREFETCH_ACCESS.NTA,0x530132
DTLB_LOAD_MISSES.STLB_HIT,0x532008
DTLB_LOAD_MISSES.WALK_COMPLETED,0x530e08
