SQ_MISC.SQ_FULL,0x5304f4
SQ_MISC.BUS_LOCK,0x5310f4
L2_LINES_OUT.USELESS_HWPF,0x5304f2
L2_LINES_OUT.NON_SILENT,0x5302f2
L2_LINES_OUT.SILENT,0x5301f2
L2_LINES_IN.ALL,0x531ff1
L2_TRANS.L2_WB,0x5340f0
BACLEARS.ANY,0x5301e6
MEM_LOAD_L3_HIT_RETIRED.XSNP_NONE,0x5308d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM,0x5304d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT,0x5302d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,0x5301d2
MEM_LOAD_RETIRED.FB_HIT,0x5340d1
MEM_LOAD_RETIRED.L3_MISS,0x5320d1
MEM_LOAD_RETIRED.L2_MISS,0x5310d1
MEM_LOAD_RETIRED.L1_MISS,0x5308d1
MEM_LOAD_RETIRED.L3_HIT,0x5304d1
MEM_LOAD_RETIRED.L2_HIT,0x5302d1
MEM_LOAD_RETIRED.L1_HIT,0x5301d1
MEM_LOAD_RETIRED.LOCAL_PMM,0x5380d1
MEM_INST_RETIRED.ALL_STORES,0x5382d0
MEM_INST_RETIRED.ALL_LOADS,0x5381d0
MEM_INST_RETIRED.SPLIT_STORES,0x5342d0
MEM_INST_RETIRED.SPLIT_LOADS,0x5341d0
MEM_INST_RETIRED.LOCK_LOADS,0x5321d0
MEM_INST_RETIRED.STLB_MISS_STORES,0x5312d0
MEM_INST_RETIRED.STLB_MISS_LOADS,0x5311d0
MEM_INST_RETIRED.ANY,0x5383d0
MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM,0x5310d3
MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD,0x5308d3
MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM,0x5304d3
MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM,0x5302d3
MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM,0x5301d3
MEM_TRANS_RETIRED.LOAD_LATENCY,0x5301cd
MISC_RETIRED.PAUSE_INST,0x5340cc
MISC_RETIRED.LBR_INSERTS,0x5320cc
RTM_RETIRED.ABORTED_EVENTS,0x5380c9
RTM_RETIRED.ABORTED_MEMTYPE,0x5340c9
RTM_RETIRED.ABORTED_UNFRIENDLY,0x5320c9
RTM_RETIRED.ABORTED_MEM,0x5308c9
RTM_RETIRED.ABORTED,0x5304c9
RTM_RETIRED.COMMIT,0x5302c9
RTM_RETIRED.START,0x5301c9
HLE_RETIRED.ABORTED_EVENTS,0x5380c8
HLE_RETIRED.ABORTED_UNFRIENDLY,0x5320c8
HLE_RETIRED.ABORTED_MEM,0x5308c8
HLE_RETIRED.ABORTED,0x5304c8
HLE_RETIRED.COMMIT,0x5302c8
HLE_RETIRED.START,0x5301c8
FP_ARITH_INST_RETIRED.512B_PACKED_SINGLE,0x5380c7
FP_ARITH_INST_RETIRED.512B_PACKED_DOUBLE,0x5340c7
FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE,0x5320c7
FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE,0x5310c7
FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE,0x5308c7
FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE,0x5304c7
FP_ARITH_INST_RETIRED.SCALAR_SINGLE,0x5302c7
FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,0x5301c7
FP_ARITH_INST_RETIRED.SCALAR,0x5303c7
FP_ARITH_INST_RETIRED.4_FLOPS,0x5318c7
FP_ARITH_INST_RETIRED.8_FLOPS,0x5360c7
FP_ARITH_INST_RETIRED.VECTOR,0x53fcc7
FP_ARITH.512B_PACKED_SINGLE,0x5380c7
FP_ARITH.512B_PACKED_DOUBLE,0x5340c7
FP_ARITH.256B_PACKED_SINGLE,0x5320c7
FP_ARITH.256B_PACKED_DOUBLE,0x5310c7
FP_ARITH.128B_PACKED_SINGLE,0x5308c7
FP_ARITH.128B_PACKED_DOUBLE,0x5304c7
FP_ARITH.SCALAR_SINGLE,0x5302c7
FP_ARITH.SCALAR_DOUBLE,0x5301c7
FP_ARITH.SCALAR,0x5303c7
FP_ARITH.4_FLOPS,0x5318c7
FP_ARITH.8_FLOPS,0x5360c7
FP_ARITH.VECTOR,0x53fcc7
FRONTEND_RETIRED.LATENCY_GE_1,0x5301c6
FRONTEND_RETIRED.LATENCY_GE_2_BUBBLES_GE_1,0x5301c6
FRONTEND_RETIRED.LATENCY_GE_512,0x5301c6
FRONTEND_RETIRED.LATENCY_GE_256,0x5301c6
FRONTEND_RETIRED.LATENCY_GE_128,0x5301c6
FRONTEND_RETIRED.LATENCY_GE_64,0x5301c6
FRONTEND_RETIRED.LATENCY_GE_32,0x5301c6
FRONTEND_RETIRED.LATENCY_GE_16,0x5301c6
FRONTEND_RETIRED.LATENCY_GE_8,0x5301c6
FRONTEND_RETIRED.LATENCY_GE_4,0x5301c6
FRONTEND_RETIRED.LATENCY_GE_2,0x5301c6
FRONTEND_RETIRED.STLB_MISS,0x5301c6
FRONTEND_RETIRED.ITLB_MISS,0x5301c6
FRONTEND_RETIRED.L2_MISS,0x5301c6
FRONTEND_RETIRED.L1I_MISS,0x5301c6
FRONTEND_RETIRED.DSB_MISS,0x5301c6
FRONTEND_RETIRED.ANY_DSB_MISS,0x5301c6
FRONTEND_RETIRED.IDQ_4_BUBBLES,0x5301c6
FRONTEND_RETIRED.IDQ_3_BUBBLES,0x5301c6
FRONTEND_RETIRED.IDQ_2_BUBBLES,0x5301c6
