UNHALTED_CORE_CYCLES,0x53003c
UNC_C_READ_NO_CREDITS.MC1_SMI1,0x258
UNC_C_REQUESTS.INVITOE_LOCAL,0x1050
UNC_C_REQUESTS.INVITOE_REMOTE,0x2050
UNC_C_REQUESTS.READS,0x350
UNC_C_REQUESTS.READS_LOCAL,0x150
UNC_C_REQUESTS.READS_REMOTE,0x250
UNC_C_REQUESTS.WRITES,0xc50
UNC_C_REQUESTS.WRITES_LOCAL,0x450
UNC_C_REQUESTS.WRITES_REMOTE,0x850
UNC_C_RING_BOUNCES_HORZ.AD,0x1a1
UNC_C_RING_BOUNCES_HORZ.AK,0x2a1
UNC_C_RING_BOUNCES_HORZ.BL,0x4a1
UNC_C_RING_BOUNCES_HORZ.IV,0x8a1
UNC_C_RING_BOUNCES_VERT.AD,0x1a0
UNC_C_RING_BOUNCES_VERT.AK,0x2a0
UNC_C_RING_BOUNCES_VERT.BL,0x4a0
UNC_C_RING_BOUNCES_VERT.IV,0x8a0
UNC_C_RING_SINK_STARVED_HORZ.AD,0x1a3
UNC_C_RING_SINK_STARVED_HORZ.AK,0x2a3
UNC_C_RING_SINK_STARVED_HORZ.AK_AG1,0x20a3
UNC_C_RING_SINK_STARVED_HORZ.BL,0x4a3
UNC_C_RING_SINK_STARVED_HORZ.IV,0x8a3
UNC_C_RING_SINK_STARVED_VERT.AD,0x1a2
UNC_C_RING_SINK_STARVED_VERT.AK,0x2a2
UNC_C_RING_SINK_STARVED_VERT.BL,0x4a2
UNC_C_RING_SINK_STARVED_VERT.IV,0x8a2
UNC_C_RING_SRC_THRTL,0xa4
UNC_C_RXC_INSERTS.IPQ,0x413
UNC_C_RXC_INSERTS.IRQ,0x113
UNC_C_RXC_INSERTS.IRQ_REJ,0x213
UNC_C_RXC_INSERTS.PRQ,0x1013
UNC_C_RXC_INSERTS.PRQ_REJ,0x2013
UNC_C_RXC_INSERTS.RRQ,0x4013
UNC_C_RXC_INSERTS.WBQ,0x8013
UNC_C_RXC_IPQ0_REJECT.AD_REQ_VN0,0x122
UNC_C_RXC_IPQ0_REJECT.AD_RSP_VN0,0x222
UNC_C_RXC_IPQ0_REJECT.AK_NON_UPI,0x4022
UNC_C_RXC_IPQ0_REJECT.BL_NCB_VN0,0x1022
UNC_C_RXC_IPQ0_REJECT.BL_NCS_VN0,0x2022
UNC_C_RXC_IPQ0_REJECT.BL_RSP_VN0,0x422
UNC_C_RXC_IPQ0_REJECT.BL_WB_VN0,0x822
UNC_C_RXC_IPQ0_REJECT.IV_NON_UPI,0x8022
UNC_C_RXC_IPQ1_REJECT.ALLOW_SNP,0x4023
