UNHALTED_CORE_CYCLES,0x53003c
UNC_C_RXC_IRQ1_REJECT.HA,0x219
UNC_C_RXC_IRQ1_REJECT.LLC_OR_SF_WAY,0x2019
UNC_C_RXC_IRQ1_REJECT.LLC_VICTIM,0x419
UNC_C_RXC_IRQ1_REJECT.PA_MATCH,0x8019
UNC_C_RXC_IRQ1_REJECT.SF_VICTIM,0x819
UNC_C_RXC_IRQ1_REJECT.VICTIM,0x1019
UNC_C_RXC_ISMQ0_REJECT.AD_REQ_VN0,0x124
UNC_C_RXC_ISMQ0_REJECT.AD_RSP_VN0,0x224
UNC_C_RXC_ISMQ0_REJECT.AK_NON_UPI,0x4024
UNC_C_RXC_ISMQ0_REJECT.BL_NCB_VN0,0x1024
UNC_C_RXC_ISMQ0_REJECT.BL_NCS_VN0,0x2024
UNC_C_RXC_ISMQ0_REJECT.BL_RSP_VN0,0x424
UNC_C_RXC_ISMQ0_REJECT.BL_WB_VN0,0x824
UNC_C_RXC_ISMQ0_REJECT.IV_NON_UPI,0x8024
UNC_C_RXC_ISMQ0_RETRY.AD_REQ_VN0,0x12c
UNC_C_RXC_ISMQ0_RETRY.AD_RSP_VN0,0x22c
UNC_C_RXC_ISMQ0_RETRY.AK_NON_UPI,0x402c
UNC_C_RXC_ISMQ0_RETRY.BL_NCB_VN0,0x102c
UNC_C_RXC_ISMQ0_RETRY.BL_NCS_VN0,0x202c
UNC_C_RXC_ISMQ0_RETRY.BL_RSP_VN0,0x42c
UNC_C_RXC_ISMQ0_RETRY.BL_WB_VN0,0x82c
UNC_C_RXC_ISMQ0_RETRY.IV_NON_UPI,0x802c
UNC_C_RXC_ISMQ1_REJECT.ANY0,0x125
UNC_C_RXC_ISMQ1_REJECT.HA,0x225
UNC_C_RXC_ISMQ1_RETRY.ANY0,0x12d
UNC_C_RXC_ISMQ1_RETRY.HA,0x22d
UNC_C_RXC_OCCUPANCY.IPQ,0x411
UNC_C_RXC_OCCUPANCY.IRQ,0x111
UNC_C_RXC_OCCUPANCY.RRQ,0x4011
UNC_C_RXC_OCCUPANCY.WBQ,0x8011
UNC_C_RXC_OTHER0_RETRY.AD_REQ_VN0,0x12e
UNC_C_RXC_OTHER0_RETRY.AD_RSP_VN0,0x22e
UNC_C_RXC_OTHER0_RETRY.AK_NON_UPI,0x402e
UNC_C_RXC_OTHER0_RETRY.BL_NCB_VN0,0x102e
UNC_C_RXC_OTHER0_RETRY.BL_NCS_VN0,0x202e
UNC_C_RXC_OTHER0_RETRY.BL_RSP_VN0,0x42e
UNC_C_RXC_OTHER0_RETRY.BL_WB_VN0,0x82e
UNC_C_RXC_OTHER0_RETRY.IV_NON_UPI,0x802e
UNC_C_RXC_OTHER1_RETRY.ALLOW_SNP,0x402f
UNC_C_RXC_OTHER1_RETRY.ANY0,0x12f
UNC_C_RXC_OTHER1_RETRY.HA,0x22f
UNC_C_RXC_OTHER1_RETRY.LLC_OR_SF_WAY,0x202f
UNC_C_RXC_OTHER1_RETRY.LLC_VICTIM,0x42f
UNC_C_RXC_OTHER1_RETRY.PA_MATCH,0x802f
UNC_C_RXC_OTHER1_RETRY.SF_VICTIM,0x82f
UNC_C_RXC_OTHER1_RETRY.VICTIM,0x102f
UNC_C_RXC_PRQ0_REJECT.AD_REQ_VN0,0x120
UNC_C_RXC_PRQ0_REJECT.AD_RSP_VN0,0x220
UNC_C_RXC_PRQ0_REJECT.AK_NON_UPI,0x4020
UNC_C_RXC_PRQ0_REJECT.BL_NCB_VN0,0x1020
UNC_C_RXC_PRQ0_REJECT.BL_NCS_VN0,0x2020
UNC_C_RXC_PRQ0_REJECT.BL_RSP_VN0,0x420
UNC_C_RXC_PRQ0_REJECT.BL_WB_VN0,0x820
UNC_C_RXC_PRQ0_REJECT.IV_NON_UPI,0x8020
UNC_C_RXC_PRQ1_REJECT.ALLOW_SNP,0x4021
UNC_C_RXC_PRQ1_REJECT.ANY0,0x121
UNC_C_RXC_PRQ1_REJECT.HA,0x221
UNC_C_RXC_PRQ1_REJECT.LLC_OR_SF_WAY,0x2021
UNC_C_RXC_PRQ1_REJECT.LLC_VICTIM,0x421
UNC_C_RXC_PRQ1_REJECT.PA_MATCH,0x8021
UNC_C_RXC_PRQ1_REJECT.SF_VICTIM,0x821
UNC_C_RXC_PRQ1_REJECT.VICTIM,0x1021
UNC_C_RXC_REQ_Q0_RETRY.AD_REQ_VN0,0x12a
UNC_C_RXC_REQ_Q0_RETRY.AD_RSP_VN0,0x22a
UNC_C_RXC_REQ_Q0_RETRY.AK_NON_UPI,0x402a
UNC_C_RXC_REQ_Q0_RETRY.BL_NCB_VN0,0x102a
UNC_C_RXC_REQ_Q0_RETRY.BL_NCS_VN0,0x202a
UNC_C_RXC_REQ_Q0_RETRY.BL_RSP_VN0,0x42a
UNC_C_RXC_REQ_Q0_RETRY.BL_WB_VN0,0x82a
UNC_C_RXC_REQ_Q0_RETRY.IV_NON_UPI,0x802a
UNC_C_RXC_REQ_Q1_RETRY.ALLOW_SNP,0x402b
UNC_C_RXC_REQ_Q1_RETRY.ANY0,0x12b
UNC_C_RXC_REQ_Q1_RETRY.HA,0x22b
UNC_C_RXC_REQ_Q1_RETRY.LLC_OR_SF_WAY,0x202b
UNC_C_RXC_REQ_Q1_RETRY.LLC_VICTIM,0x42b
UNC_C_RXC_REQ_Q1_RETRY.PA_MATCH,0x802b
UNC_C_RXC_REQ_Q1_RETRY.SF_VICTIM,0x82b
UNC_C_RXC_REQ_Q1_RETRY.VICTIM,0x102b
UNC_C_RXC_RRQ0_REJECT.AD_REQ_VN0,0x126
UNC_C_RXC_RRQ0_REJECT.AD_RSP_VN0,0x226
UNC_C_RXC_RRQ0_REJECT.AK_NON_UPI,0x4026
UNC_C_RXC_RRQ0_REJECT.BL_NCB_VN0,0x1026
UNC_C_RXC_RRQ0_REJECT.BL_NCS_VN0,0x2026
UNC_C_RXC_RRQ0_REJECT.BL_RSP_VN0,0x426
UNC_C_RXC_RRQ0_REJECT.BL_WB_VN0,0x826
UNC_C_RXC_RRQ0_REJECT.IV_NON_UPI,0x8026
UNC_C_RXC_RRQ1_REJECT.ALLOW_SNP,0x4027
UNC_C_RXC_RRQ1_REJECT.ANY0,0x127
UNC_C_RXC_RRQ1_REJECT.HA,0x227
UNC_C_RXC_RRQ1_REJECT.LLC_OR_SF_WAY,0x2027
UNC_C_RXC_RRQ1_REJECT.LLC_VICTIM,0x427
UNC_C_RXC_RRQ1_REJECT.PA_MATCH,0x8027
UNC_C_RXC_RRQ1_REJECT.SF_VICTIM,0x827
UNC_C_RXC_RRQ1_REJECT.VICTIM,0x1027
UNC_C_RXC_WBQ0_REJECT.AD_REQ_VN0,0x128
UNC_C_RXC_WBQ0_REJECT.AD_RSP_VN0,0x228
UNC_C_RXC_WBQ0_REJECT.AK_NON_UPI,0x4028
UNC_C_RXC_WBQ0_REJECT.BL_NCB_VN0,0x1028
UNC_C_RXC_WBQ0_REJECT.BL_NCS_VN0,0x2028
UNC_C_RXC_WBQ0_REJECT.BL_RSP_VN0,0x428
UNC_C_RXC_WBQ0_REJECT.BL_WB_VN0,0x828
UNC_C_RXC_WBQ0_REJECT.IV_NON_UPI,0x8028
UNC_C_RXC_WBQ1_REJECT.ALLOW_SNP,0x4029
UNC_C_RXC_WBQ1_REJECT.ANY0,0x129
UNC_C_RXC_WBQ1_REJECT.HA,0x229
UNC_C_RXC_WBQ1_REJECT.LLC_OR_SF_WAY,0x2029
UNC_C_RXC_WBQ1_REJECT.LLC_VICTIM,0x429
UNC_C_RXC_WBQ1_REJECT.PA_MATCH,0x8029
UNC_C_RXC_WBQ1_REJECT.SF_VICTIM,0x829
UNC_C_RXC_WBQ1_REJECT.VICTIM,0x1029
UNC_C_RXR_BUSY_STARVED.AD_BNC,0x1b4
UNC_C_RXR_BUSY_STARVED.AD_CRD,0x10b4
UNC_C_RXR_BUSY_STARVED.BL_BNC,0x4b4
UNC_C_RXR_BUSY_STARVED.BL_CRD,0x40b4
UNC_C_RXR_BYPASS.AD_BNC,0x1b2
UNC_C_RXR_BYPASS.AD_CRD,0x10b2
UNC_C_RXR_BYPASS.AK_BNC,0x2b2
UNC_C_RXR_BYPASS.BL_BNC,0x4b2
UNC_C_RXR_BYPASS.BL_CRD,0x40b2
UNC_C_RXR_BYPASS.IV_BNC,0x8b2
UNC_C_RXR_CRD_STARVED.AD_BNC,0x1b3
UNC_C_RXR_CRD_STARVED.AD_CRD,0x10b3
UNC_C_RXR_CRD_STARVED.AK_BNC,0x2b3
UNC_C_RXR_CRD_STARVED.BL_BNC,0x4b3
UNC_C_RXR_CRD_STARVED.BL_CRD,0x40b3
UNC_C_RXR_CRD_STARVED.IFV,0x80b3
UNC_C_RXR_CRD_STARVED.IV_BNC,0x8b3
UNC_C_RXR_INSERTS.AD_BNC,0x1b1
UNC_C_RXR_INSERTS.AD_CRD,0x10b1
UNC_C_RXR_INSERTS.AK_BNC,0x2b1
UNC_C_RXR_INSERTS.BL_BNC,0x4b1
UNC_C_RXR_INSERTS.BL_CRD,0x40b1
UNC_C_RXR_INSERTS.IV_BNC,0x8b1
UNC_C_RXR_OCCUPANCY.AD_BNC,0x1b0
UNC_C_RXR_OCCUPANCY.AD_CRD,0x10b0
UNC_C_RXR_OCCUPANCY.AK_BNC,0x2b0
UNC_C_RXR_OCCUPANCY.BL_BNC,0x4b0
UNC_C_RXR_OCCUPANCY.BL_CRD,0x40b0
UNC_C_RXR_OCCUPANCY.IV_BNC,0x8b0
UNC_C_SF_EVICTION.E_STATE,0x23d
UNC_C_SF_EVICTION.M_STATE,0x13d
UNC_C_SF_EVICTION.S_STATE,0x43d
UNC_C_SNOOPS_SENT.ALL,0x151
UNC_C_SNOOPS_SENT.BCST_LOCAL,0x1051
UNC_C_SNOOPS_SENT.BCST_REMOTE,0x2051
UNC_C_SNOOPS_SENT.DIRECT_LOCAL,0x4051
UNC_C_SNOOPS_SENT.DIRECT_REMOTE,0x8051
UNC_C_SNOOPS_SENT.LOCAL,0x451
UNC_C_SNOOPS_SENT.REMOTE,0x851
UNC_C_SNOOP_RESP.RSPCNFLCTS,0x405c
UNC_C_SNOOP_RESP.RSPFWD,0x805c
UNC_C_SNOOP_RESP.RSPI,0x15c
UNC_C_SNOOP_RESP.RSPIFWD,0x45c
UNC_C_SNOOP_RESP.RSPS,0x25c
UNC_C_SNOOP_RESP.RSPSFWD,0x85c
UNC_C_SNOOP_RESP.RSP_FWD_WB,0x205c
UNC_C_SNOOP_RESP.RSP_WBWB,0x105c
UNC_C_SNOOP_RESP_LOCAL.RSPFWD,0x805d
UNC_C_SNOOP_RESP_LOCAL.RSPI,0x15d
UNC_C_SNOOP_RESP_LOCAL.RSPIFWD,0x45d
UNC_C_SNOOP_RESP_LOCAL.RSPS,0x25d
UNC_C_SNOOP_RESP_LOCAL.RSPSFWD,0x85d
UNC_C_SNOOP_RESP_LOCAL.RSP_FWD_WB,0x205d
UNC_C_SNOOP_RESP_LOCAL.RSP_WB,0x105d
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG0.TGR0,0x1d0
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG0.TGR1,0x2d0
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG0.TGR2,0x4d0
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG0.TGR3,0x8d0
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG0.TGR4,0x10d0
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG0.TGR5,0x20d0
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG1.TGR0,0x1d2
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG1.TGR1,0x2d2
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG1.TGR2,0x4d2
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG1.TGR3,0x8d2
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG1.TGR4,0x10d2
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG1.TGR5,0x20d2
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG0.TGR0,0x1d4
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG0.TGR1,0x2d4
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG0.TGR2,0x4d4
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG0.TGR3,0x8d4
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG0.TGR4,0x10d4
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG0.TGR5,0x20d4
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG1.TGR0,0x1d6
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG1.TGR1,0x2d6
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG1.TGR2,0x4d6
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG1.TGR3,0x8d6
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG1.TGR4,0x10d6
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG1.TGR5,0x20d6
UNC_C_TOR_INSERTS.ALL_HIT,0x1535
UNC_C_TOR_INSERTS.ALL_IO_IA,0x3535
UNC_C_TOR_INSERTS.ALL_MISS,0x2535
UNC_C_TOR_INSERTS.EVICT,0x235
UNC_C_TOR_INSERTS.HIT,0x1035
UNC_C_TOR_INSERTS.IA,0x3135
UNC_C_TOR_INSERTS.IA_HIT,0x1135
UNC_C_TOR_INSERTS.IA_MISS,0x2135
UNC_C_TOR_INSERTS.IO,0x3435
UNC_C_TOR_INSERTS.IO_HIT,0x1435
UNC_C_TOR_INSERTS.IO_MISS,0x2435
UNC_C_TOR_INSERTS.MISS,0x2035
UNC_C_TOR_INSERTS.IPQ,0x835
UNC_C_TOR_INSERTS.IRQ,0x135
UNC_C_TOR_INSERTS.PRQ,0x435
UNC_C_TOR_OCCUPANCY.ALL,0x3736
UNC_C_TOR_OCCUPANCY.ALL_HIT,0x1736
UNC_C_TOR_OCCUPANCY.ALL_MISS,0x2736
UNC_C_TOR_OCCUPANCY.EVICT,0x236
UNC_C_TOR_OCCUPANCY.HIT,0x1036
UNC_C_TOR_OCCUPANCY.IA,0x3136
UNC_C_TOR_OCCUPANCY.IA_HIT,0x1136
UNC_C_TOR_OCCUPANCY.IA_MISS,0x2136
UNC_C_TOR_OCCUPANCY.IO,0x3436
UNC_C_TOR_OCCUPANCY.IO_HIT,0x1436
UNC_C_TOR_OCCUPANCY.IO_MISS,0x2436
UNC_C_TOR_OCCUPANCY.MISS,0x2036
UNC_C_TOR_OCCUPANCY.IPQ,0x836
UNC_C_TOR_OCCUPANCY.IRQ,0x136
UNC_C_TOR_OCCUPANCY.PRQ,0x436
UNC_C_TXR_HORZ_ADS_USED.AD_BNC,0x19d
UNC_C_TXR_HORZ_ADS_USED.AD_CRD,0x109d
UNC_C_TXR_HORZ_ADS_USED.AK_BNC,0x29d
UNC_C_TXR_HORZ_ADS_USED.BL_BNC,0x49d
UNC_C_TXR_HORZ_ADS_USED.BL_CRD,0x409d
UNC_C_TXR_HORZ_BYPASS.AD_BNC,0x19f
UNC_C_TXR_HORZ_BYPASS.AD_CRD,0x109f
UNC_C_TXR_HORZ_BYPASS.AK_BNC,0x29f
UNC_C_TXR_HORZ_BYPASS.BL_BNC,0x49f
UNC_C_TXR_HORZ_BYPASS.BL_CRD,0x409f
UNC_C_TXR_HORZ_BYPASS.IV_BNC,0x89f
UNC_C_TXR_HORZ_CYCLES_FULL.AD_BNC,0x196
UNC_C_TXR_HORZ_CYCLES_FULL.AD_CRD,0x1096
UNC_C_TXR_HORZ_CYCLES_FULL.AK_BNC,0x296
UNC_C_TXR_HORZ_CYCLES_FULL.BL_BNC,0x496
UNC_C_TXR_HORZ_CYCLES_FULL.BL_CRD,0x4096
UNC_C_TXR_HORZ_CYCLES_FULL.IV_BNC,0x896
UNC_C_TXR_HORZ_CYCLES_NE.AD_BNC,0x197
UNC_C_TXR_HORZ_CYCLES_NE.AD_CRD,0x1097
UNC_C_TXR_HORZ_CYCLES_NE.AK_BNC,0x297
UNC_C_TXR_HORZ_CYCLES_NE.BL_BNC,0x497
UNC_C_TXR_HORZ_CYCLES_NE.BL_CRD,0x4097
UNC_C_TXR_HORZ_CYCLES_NE.IV_BNC,0x897
UNC_C_TXR_HORZ_INSERTS.AD_BNC,0x195
UNC_C_TXR_HORZ_INSERTS.AD_CRD,0x1095
UNC_C_TXR_HORZ_INSERTS.AK_BNC,0x295
UNC_C_TXR_HORZ_INSERTS.BL_BNC,0x495
UNC_C_TXR_HORZ_INSERTS.BL_CRD,0x4095
UNC_C_TXR_HORZ_INSERTS.IV_BNC,0x895
UNC_C_TXR_HORZ_NACK.AD_BNC,0x199
UNC_C_TXR_HORZ_NACK.AD_CRD,0x2099
UNC_C_TXR_HORZ_NACK.AK_BNC,0x299
UNC_C_TXR_HORZ_NACK.BL_BNC,0x499
UNC_C_TXR_HORZ_NACK.BL_CRD,0x4099
UNC_C_TXR_HORZ_NACK.IV_BNC,0x899
UNC_C_TXR_HORZ_OCCUPANCY.AD_BNC,0x194
UNC_C_TXR_HORZ_OCCUPANCY.AD_CRD,0x1094
UNC_C_TXR_HORZ_OCCUPANCY.AK_BNC,0x294
UNC_C_TXR_HORZ_OCCUPANCY.BL_BNC,0x494
UNC_C_TXR_HORZ_OCCUPANCY.BL_CRD,0x4094
UNC_C_TXR_HORZ_OCCUPANCY.IV_BNC,0x894
UNC_C_TXR_HORZ_STARVED.AD_BNC,0x19b
UNC_C_TXR_HORZ_STARVED.AK_BNC,0x29b
UNC_C_TXR_HORZ_STARVED.BL_BNC,0x49b
UNC_C_TXR_HORZ_STARVED.IV_BNC,0x89b
UNC_C_TXR_VERT_ADS_USED.AD_AG0,0x19c
UNC_C_TXR_VERT_ADS_USED.AD_AG1,0x109c
UNC_C_TXR_VERT_ADS_USED.AK_AG0,0x29c
UNC_C_TXR_VERT_ADS_USED.AK_AG1,0x209c
UNC_C_TXR_VERT_ADS_USED.BL_AG0,0x49c
UNC_C_TXR_VERT_ADS_USED.BL_AG1,0x409c
UNC_C_TXR_VERT_BYPASS.AD_AG0,0x19e
UNC_C_TXR_VERT_BYPASS.AD_AG1,0x109e
UNC_C_TXR_VERT_BYPASS.AK_AG0,0x29e
UNC_C_TXR_VERT_BYPASS.AK_AG1,0x209e
UNC_C_TXR_VERT_BYPASS.BL_AG0,0x49e
UNC_C_TXR_VERT_BYPASS.BL_AG1,0x409e
UNC_C_TXR_VERT_BYPASS.IV,0x89e
UNC_C_TXR_VERT_CYCLES_FULL.AD_AG0,0x192
UNC_C_TXR_VERT_CYCLES_FULL.AD_AG1,0x1092
UNC_C_TXR_VERT_CYCLES_FULL.AK_AG0,0x292
UNC_C_TXR_VERT_CYCLES_FULL.AK_AG1,0x2092
UNC_C_TXR_VERT_CYCLES_FULL.BL_AG0,0x492
UNC_C_TXR_VERT_CYCLES_FULL.BL_AG1,0x4092
UNC_C_TXR_VERT_CYCLES_FULL.IV,0x892
UNC_C_TXR_VERT_CYCLES_NE.AD_AG0,0x193
UNC_C_TXR_VERT_CYCLES_NE.AD_AG1,0x1093
UNC_C_TXR_VERT_CYCLES_NE.AK_AG0,0x293
UNC_C_TXR_VERT_CYCLES_NE.AK_AG1,0x2093
UNC_C_TXR_VERT_CYCLES_NE.BL_AG0,0x493
UNC_C_TXR_VERT_CYCLES_NE.BL_AG1,0x4093
UNC_C_TXR_VERT_CYCLES_NE.IV,0x893
UNC_C_TXR_VERT_INSERTS.AD_AG0,0x191
UNC_C_TXR_VERT_INSERTS.AD_AG1,0x1091
UNC_C_TXR_VERT_INSERTS.AK_AG0,0x291
UNC_C_TXR_VERT_INSERTS.AK_AG1,0x2091
UNC_C_TXR_VERT_INSERTS.BL_AG0,0x491
UNC_C_TXR_VERT_INSERTS.BL_AG1,0x4091
UNC_C_TXR_VERT_INSERTS.IV,0x891
UNC_C_TXR_VERT_NACK.AD_AG0,0x198
UNC_C_TXR_VERT_NACK.AD_AG1,0x1098
UNC_C_TXR_VERT_NACK.AK_AG0,0x298
UNC_C_TXR_VERT_NACK.AK_AG1,0x2098
UNC_C_TXR_VERT_NACK.BL_AG0,0x498
UNC_C_TXR_VERT_NACK.BL_AG1,0x4098
UNC_C_TXR_VERT_NACK.IV,0x898
UNC_C_TXR_VERT_OCCUPANCY.AD_AG0,0x190
UNC_C_TXR_VERT_OCCUPANCY.AD_AG1,0x1090
UNC_C_TXR_VERT_OCCUPANCY.AK_AG0,0x290
UNC_C_TXR_VERT_OCCUPANCY.AK_AG1,0x2090
UNC_C_TXR_VERT_OCCUPANCY.BL_AG0,0x490
UNC_C_TXR_VERT_OCCUPANCY.BL_AG1,0x4090
UNC_C_TXR_VERT_OCCUPANCY.IV,0x890
UNC_C_TXR_VERT_STARVED.AD_AG0,0x19a
UNC_C_TXR_VERT_STARVED.AD_AG1,0x109a
UNC_C_TXR_VERT_STARVED.AK_AG0,0x29a
UNC_C_TXR_VERT_STARVED.AK_AG1,0x209a
UNC_C_TXR_VERT_STARVED.BL_AG0,0x49a
UNC_C_TXR_VERT_STARVED.BL_AG1,0x409a
UNC_C_TXR_VERT_STARVED.IV,0x89a
UNC_C_VERT_RING_AD_IN_USE.DN_EVEN,0x4a6
UNC_C_VERT_RING_AD_IN_USE.DN_ODD,0x8a6
UNC_C_VERT_RING_AD_IN_USE.UP_EVEN,0x1a6
UNC_C_VERT_RING_AD_IN_USE.UP_ODD,0x2a6
UNC_C_VERT_RING_AK_IN_USE.DN_EVEN,0x4a8
UNC_C_VERT_RING_AK_IN_USE.DN_ODD,0x8a8
UNC_C_VERT_RING_AK_IN_USE.UP_EVEN,0x1a8
UNC_C_VERT_RING_AK_IN_USE.UP_ODD,0x2a8
UNC_C_VERT_RING_BL_IN_USE.DN_EVEN,0x4aa
UNC_C_VERT_RING_BL_IN_USE.DN_ODD,0x8aa
UNC_C_VERT_RING_BL_IN_USE.UP_EVEN,0x1aa
UNC_C_VERT_RING_BL_IN_USE.UP_ODD,0x2aa
UNC_C_VERT_RING_IV_IN_USE.DN,0x4ac
UNC_C_VERT_RING_IV_IN_USE.UP,0x1ac
UNC_C_WB_PUSH_MTOI.LLC,0x156
UNC_C_WB_PUSH_MTOI.MEM,0x256
UNC_C_WRITE_NO_CREDITS.EDC0_SMI2,0x45a
UNC_C_WRITE_NO_CREDITS.EDC1_SMI3,0x85a
UNC_C_WRITE_NO_CREDITS.EDC2_SMI4,0x105a
UNC_C_WRITE_NO_CREDITS.EDC3_SMI5,0x205a
UNC_C_WRITE_NO_CREDITS.MC0_SMI0,0x15a
UNC_C_WRITE_NO_CREDITS.MC1_SMI1,0x25a
UNC_C_XSNP_RESP.ANY_RSPI_FWDFE,0xe432
UNC_C_XSNP_RESP.ANY_RSPS_FWDFE,0xe232
UNC_C_XSNP_RESP.ANY_RSPS_FWDM,0xe832
UNC_C_XSNP_RESP.ANY_RSP_HITFSE,0xe132
UNC_C_XSNP_RESP.CORE_RSPI_FWDFE,0x4432
UNC_C_XSNP_RESP.CORE_RSPI_FWDM,0x5032
UNC_C_XSNP_RESP.CORE_RSPS_FWDFE,0x4232
UNC_C_XSNP_RESP.CORE_RSPS_FWDM,0x4832
UNC_C_XSNP_RESP.CORE_RSP_HITFSE,0x4132
UNC_C_XSNP_RESP.EVICT_RSPI_FWDFE,0x8432
UNC_C_XSNP_RESP.EVICT_RSPI_FWDM,0x9032
UNC_C_XSNP_RESP.EVICT_RSPS_FWDFE,0x8232
UNC_C_XSNP_RESP.EVICT_RSPS_FWDM,0x8832
UNC_C_XSNP_RESP.EVICT_RSP_HITFSE,0x8132
UNC_C_XSNP_RESP.EXT_RSPI_FWDFE,0x2432
UNC_C_XSNP_RESP.EXT_RSPI_FWDM,0x3032
UNC_C_XSNP_RESP.EXT_RSPS_FWDFE,0x2232
UNC_C_XSNP_RESP.EXT_RSPS_FWDM,0x2832
UNC_C_XSNP_RESP.EXT_RSP_HITFSE,0x2132
UNC_C_AG0_AD_CRD_ACQUIRED.TGR0,0x180
UNC_C_AG0_AD_CRD_ACQUIRED.TGR1,0x280
UNC_C_AG0_AD_CRD_ACQUIRED.TGR2,0x480
UNC_C_AG0_AD_CRD_ACQUIRED.TGR3,0x880
UNC_C_AG0_AD_CRD_ACQUIRED.TGR4,0x1080
UNC_C_AG0_AD_CRD_ACQUIRED.TGR5,0x2080
UNC_C_AG0_AD_CRD_OCCUPANCY.TGR0,0x182
UNC_C_AG0_AD_CRD_OCCUPANCY.TGR1,0x282
UNC_C_AG0_AD_CRD_OCCUPANCY.TGR2,0x482
UNC_C_AG0_AD_CRD_OCCUPANCY.TGR3,0x882
UNC_C_AG0_AD_CRD_OCCUPANCY.TGR4,0x1082
UNC_C_AG0_AD_CRD_OCCUPANCY.TGR5,0x2082
UNC_C_AG0_BL_CRD_ACQUIRED.TGR0,0x188
UNC_C_AG0_BL_CRD_ACQUIRED.TGR1,0x288
UNC_C_AG0_BL_CRD_ACQUIRED.TGR2,0x488
UNC_C_AG0_BL_CRD_ACQUIRED.TGR3,0x888
UNC_C_AG0_BL_CRD_ACQUIRED.TGR4,0x1088
UNC_C_AG0_BL_CRD_ACQUIRED.TGR5,0x2088
UNC_C_AG0_BL_CRD_OCCUPANCY.TGR0,0x18a
UNC_C_AG0_BL_CRD_OCCUPANCY.TGR1,0x28a
UNC_C_AG0_BL_CRD_OCCUPANCY.TGR2,0x48a
UNC_C_AG0_BL_CRD_OCCUPANCY.TGR3,0x88a
UNC_C_AG0_BL_CRD_OCCUPANCY.TGR4,0x108a
UNC_C_AG0_BL_CRD_OCCUPANCY.TGR5,0x208a
UNC_C_AG1_AD_CRD_ACQUIRED.TGR0,0x184
UNC_C_AG1_AD_CRD_ACQUIRED.TGR1,0x284
UNC_C_AG1_AD_CRD_ACQUIRED.TGR2,0x484
UNC_C_AG1_AD_CRD_ACQUIRED.TGR3,0x884
UNC_C_AG1_AD_CRD_ACQUIRED.TGR4,0x1084
UNC_C_AG1_AD_CRD_ACQUIRED.TGR5,0x2084
UNC_C_AG1_AD_CRD_OCCUPANCY.TGR0,0x186
UNC_C_AG1_AD_CRD_OCCUPANCY.TGR1,0x286
UNC_C_AG1_AD_CRD_OCCUPANCY.TGR2,0x486
UNC_C_AG1_AD_CRD_OCCUPANCY.TGR3,0x886
UNC_C_AG1_AD_CRD_OCCUPANCY.TGR4,0x1086
UNC_C_AG1_AD_CRD_OCCUPANCY.TGR5,0x2086
UNC_C_AG1_BL_CRD_OCCUPANCY.TGR0,0x18e
UNC_C_AG1_BL_CRD_OCCUPANCY.TGR1,0x28e
UNC_C_AG1_BL_CRD_OCCUPANCY.TGR2,0x48e
UNC_C_AG1_BL_CRD_OCCUPANCY.TGR3,0x88e
UNC_C_AG1_BL_CRD_OCCUPANCY.TGR4,0x108e
UNC_C_AG1_BL_CRD_OCCUPANCY.TGR5,0x208e
UNC_C_AG1_BL_CREDITS_ACQUIRED.TGR0,0x18c
UNC_C_AG1_BL_CREDITS_ACQUIRED.TGR1,0x28c
UNC_C_AG1_BL_CREDITS_ACQUIRED.TGR2,0x48c
UNC_C_AG1_BL_CREDITS_ACQUIRED.TGR3,0x88c
UNC_C_AG1_BL_CREDITS_ACQUIRED.TGR4,0x108c
UNC_C_AG1_BL_CREDITS_ACQUIRED.TGR5,0x208c
UNC_C_BYPASS_CHA_IMC.INTERMEDIATE,0x257
UNC_C_BYPASS_CHA_IMC.NOT_TAKEN,0x457
UNC_C_BYPASS_CHA_IMC.TAKEN,0x157
UNC_C_CLOCKTICKS,0x0
UNC_C_CMS_CLOCKTICKS,0xc0
UNC_C_CORE_PMA.C1_STATE,0x117
